ID,County,State,Median Price
CO - Ouray County,Ouray County,CO,632970
MD - Montgomery County,Montgomery County,MD,629580
CO - Jefferson County,Jefferson County,CO,622410
OR - Deschutes County,Deschutes County,OR,622100
CO - Denver County,Denver County,CO,614800
ID - Blaine County,Blaine County,ID,612200
CO - Elbert County,Elbert County,CO,611730
NJ - Bergen County,Bergen County,NJ,607160
MA - Essex County,Essex County,MA,596930
MA - Barnstable County,Barnstable County,MA,592810
CA - Yolo County,Yolo County,CA,590900
OR - Clackamas County,Clackamas County,OR,588190
CA - Solano County,Solano County,CA,587880
UT - Wasatch County,Wasatch County,UT,583660
WA - Whatcom County,Whatcom County,WA,582190
MD - Howard County,Howard County,MD,581310
RI - Newport County,Newport County,RI,577670
CO - San Miguel County,San Miguel County,CO,574820
HI - Hawaii County,Hawaii County,HI,570370
CO - Larimer County,Larimer County,CO,569970
NJ - Monmouth County,Monmouth County,NJ,559870
NJ - Morris County,Morris County,NJ,558540
NY - Rockland County,Rockland County,NY,557100
WA - Island County,Island County,WA,556590
OR - Washington County,Washington County,OR,550340
CA - Riverside County,Riverside County,CA,548160
CO - Arapahoe County,Arapahoe County,CO,546680
GA - Forsyth County,Forsyth County,GA,545460
WA - Skagit County,Skagit County,WA,543290
CT - Fairfield County,Fairfield County,CT,541040
NY - Suffolk County,Suffolk County,NY,540710
UT - Utah County,Utah County,UT,539520
OR - Multnomah County,Multnomah County,OR,537650
WA - Kitsap County,Kitsap County,WA,537390
CO - Clear Creek County,Clear Creek County,CO,535210
MT - Flathead County,Flathead County,MT,534870
TX - Travis County,Travis County,TX,530730
MA - Plymouth County,Plymouth County,MA,530510
UT - Washington County,Washington County,UT,529860
VA - Fauquier County,Fauquier County,VA,527880
UT - Morgan County,Morgan County,UT,527660
WA - Pierce County,Pierce County,WA,527150
FL - Collier County,Collier County,FL,523690
CO - Gunnison County,Gunnison County,CO,522440
UT - Salt Lake County,Salt Lake County,UT,521440
NJ - Somerset County,Somerset County,NJ,521110
OR - Benton County,Benton County,OR,519910
NJ - Hudson County,Hudson County,NJ,518450
CO - La Plata County,La Plata County,CO,515720
OR - Hood River County,Hood River County,OR,515570
CA - Sacramento County,Sacramento County,CA,515560
NY - Bronx County,Bronx County,NY,515010
CA - San Bernardino County,San Bernardino County,CA,514470
ID - Ada County,Ada County,ID,512880
CA - San Joaquin County,San Joaquin County,CA,510650
NV - Washoe County,Washoe County,NV,510600
NJ - Essex County,Essex County,NJ,510140
NV - Douglas County,Douglas County,NV,507560
UT - Davis County,Davis County,UT,506970
FL - St. Johns County,St. Johns County,FL,505720
ID - Kootenai County,Kootenai County,ID,505370
VA - Prince William County,Prince William County,VA,502920
NJ - Union County,Union County,NJ,502390
RI - Washington County,Washington County,RI,501590
NJ - Hunterdon County,Hunterdon County,NJ,500620
WA - Clark County,Clark County,WA,499700
CO - Chaffee County,Chaffee County,CO,498820
VA - Rappahannock County,Rappahannock County,VA,498550
WA - Chelan County,Chelan County,WA,494550
SC - Charleston County,Charleston County,SC,490090
TX - Collin County,Collin County,TX,485690
NC - Chatham County,Chatham County,NC,485420
CO - Weld County,Weld County,CO,483710
CO - Adams County,Adams County,CO,482080
NH - Rockingham County,Rockingham County,NH,481460
FL - Walton County,Walton County,FL,481460
VA - Stafford County,Stafford County,VA,481040
GA - Fulton County,Fulton County,GA,477030
WA - Thurston County,Thurston County,WA,474500
MT - Missoula County,Missoula County,MT,474490
NC - Wake County,Wake County,NC,472420
TX - Kendall County,Kendall County,TX,470130
AZ - Maricopa County,Maricopa County,AZ,468700
FL - Miami-Dade County,Miami-Dade County,FL,467940
CO - Gilpin County,Gilpin County,CO,467200
VA - Goochland County,Goochland County,VA,466170
CA - Mendocino County,Mendocino County,CA,465740
NY - Putnam County,Putnam County,NY,465170
ID - Teton County,Teton County,ID,465120
AZ - Coconino County,Coconino County,AZ,464320
WA - Jefferson County,Jefferson County,WA,461100
CO - Garfield County,Garfield County,CO,459860
MD - Anne Arundel County,Anne Arundel County,MD,459290
OR - Yamhill County,Yamhill County,OR,458760
PA - Chester County,Chester County,PA,458630
NC - Orange County,Orange County,NC,457670
ME - Cumberland County,Cumberland County,ME,455200
CO - El Paso County,El Paso County,CO,455150
TX - Williamson County,Williamson County,TX,453530
FL - Palm Beach County,Palm Beach County,FL,453330
MD - Calvert County,Calvert County,MD,452670
NJ - Cape May County,Cape May County,NJ,451090
VA - Albemarle County,Albemarle County,VA,450370
VT - Chittenden County,Chittenden County,VT,450260
CO - Park County,Park County,CO,449380
CO - Grand County,Grand County,CO,449310
SC - Beaufort County,Beaufort County,SC,448840
MA - Bristol County,Bristol County,MA,447700
NJ - Passaic County,Passaic County,NJ,446010
GA - Fayette County,Fayette County,GA,445330
TX - Denton County,Denton County,TX,444620
TN - Wilson County,Wilson County,TN,443260
OH - Delaware County,Delaware County,OH,443090
TX - Comal County,Comal County,TX,441800
UT - Cache County,Cache County,UT,441010
VA - Clarke County,Clarke County,VA,440360
GA - Cherokee County,Cherokee County,GA,440170
NV - Clark County,Clark County,NV,439890
TN - Davidson County,Davidson County,TN,439740
MD - Frederick County,Frederick County,MD,439480
NJ - Middlesex County,Middlesex County,NJ,439370
FL - Sarasota County,Sarasota County,FL,438640
VA - James City County,James City County,VA,438250
CA - Stanislaus County,Stanislaus County,CA,435880
TX - Rockwall County,Rockwall County,TX,434910
RI - Bristol County,Bristol County,RI,433630
CA - Mono County,Mono County,CA,432990
UT - Tooele County,Tooele County,UT,432910
FL - Broward County,Broward County,FL,432230
WA - Clallam County,Clallam County,WA,432000
MN - Carver County,Carver County,MN,431310
OR - Josephine County,Josephine County,OR,431210
AZ - Yavapai County,Yavapai County,AZ,430620
MD - Carroll County,Carroll County,MD,429530
FL - Martin County,Martin County,FL,429190
ID - Valley County,Valley County,ID,429050
OR - Polk County,Polk County,OR,428450
CO - Archuleta County,Archuleta County,CO,427250
WA - Mason County,Mason County,WA,426790
NM - Santa Fe County,Santa Fe County,NM,425300
CO - Mineral County,Mineral County,CO,424850
UT - Weber County,Weber County,UT,421990
AK - Sitka City and Borough,Sitka City and Borough,AK,421450
NC - Union County,Union County,NC,420550
VA - Fredericksburg city,Fredericksburg city,VA,420460
GA - Cobb County,Cobb County,GA,420400
CA - Alpine County,Alpine County,CA,419790
PA - Bucks County,Bucks County,PA,419450
WA - Kittitas County,Kittitas County,WA,417560
MN - Washington County,Washington County,MN,416950
