County,State,State Abbrv,Median Home Price Q3 2022
Forrest County,Mississippi,MS,166910
Cherokee County,Alabama,AL,166530
Dallas County,Missouri,MO,166490
Howard County,Indiana,IN,166390
Pottawatomie County,Oklahoma,OK,166310
Isabella County,Michigan,MI,166250
Montague County,Texas,TX,166130
Spencer County,Indiana,IN,166010
Noble County,Indiana,IN,165900
Muscatine County,Iowa,IA,165850
Harney County,Oregon,OR,165710
Hawkins County,Tennessee,TN,165600
Carroll County,Iowa,IA,165390
Miller County,Missouri,MO,165350
Cabell County,West Virginia,WV,165320
Phelps County,Nebraska,NE,165150
Saline County,Kansas,KS,165150
Northumberland County,Pennsylvania,PA,165130
Aleutians East Borough,Alaska,AK,165120
Jersey County,Illinois,IL,165040
Adams County,Nebraska,NE,165030
Pearl River County,Mississippi,MS,165020
Bosque County,Texas,TX,164930
Rutherford County,North Carolina,NC,164810
Geary County,Kansas,KS,164730
Fulton County,Ohio,OH,164710
Long County,Georgia,GA,164690
Hocking County,Ohio,OH,164590
Mackinac County,Michigan,MI,164480
Brown County,Ohio,OH,164470
Wadena County,Minnesota,MN,164290
Allamakee County,Iowa,IA,164120
Cleburne County,Arkansas,AR,164060
Marion County,Arkansas,AR,164060
Jasper County,Iowa,IA,164010
Hickman County,Tennessee,TN,163890
San Juan County,Utah,UT,163850
Grant County,South Dakota,SD,163780
Ashland County,Ohio,OH,163560
Calhoun County,Michigan,MI,163550
Jones County,Iowa,IA,163540
Clark County,Ohio,OH,163520
Gaines County,Texas,TX,163260
Baxter County,Arkansas,AR,163230
McDowell County,North Carolina,NC,163200
York County,Nebraska,NE,163190
Freestone County,Texas,TX,163020
Roger Mills County,Oklahoma,OK,162990
Larue County,Kentucky,KY,162900
Lowndes County,Mississippi,MS,162840
Greenwood County,South Carolina,SC,162790
Angelina County,Texas,TX,162780
Matagorda County,Texas,TX,162780
Rusk County,Texas,TX,162760
Newaygo County,Michigan,MI,162700
Muskingum County,Ohio,OH,162640
Winnebago County,Illinois,IL,162590
Grainger County,Tennessee,TN,162560
Juneau County,Wisconsin,WI,162460
Howard County,Missouri,MO,162240
Barnes County,North Dakota,ND,162220
Young County,Texas,TX,162180
Lawrence County,Pennsylvania,PA,162050
Newton County,Missouri,MO,162010
Calhoun County,Alabama,AL,161970
Livingston County,New York,NY,161890
San Miguel County,New Mexico,NM,161760
Thomas County,Kansas,KS,161620
Gasconade County,Missouri,MO,161600
Houston County,Tennessee,TN,161500
Nobles County,Minnesota,MN,161420
Gallatin County,Kentucky,KY,161330
Blount County,Alabama,AL,161110
Greene County,Arkansas,AR,161110
Etowah County,Alabama,AL,161000
Wells County,Indiana,IN,160890
Rowan County,Kentucky,KY,160720
Kalkaska County,Michigan,MI,160700
Levy County,Florida,FL,160650
Preble County,Ohio,OH,160510
Buchanan County,Missouri,MO,160210
Carroll County,Ohio,OH,160200
Polk County,Georgia,GA,160160
Schley County,Georgia,GA,160160
Pershing County,Nevada,NV,160080
Bowie County,Texas,TX,160050
LaSalle County,Illinois,IL,159950
Washington County,Ohio,OH,159910
Fall River County,South Dakota,SD,159790
Dade County,Georgia,GA,159750
Hardin County,Texas,TX,159680
Allen County,Ohio,OH,159670
Dakota County,Nebraska,NE,159610
Jackson County,Iowa,IA,159520
Campbell County,Tennessee,TN,159490
Buckingham County,Virginia,VA,159360
Ottawa County,Kansas,KS,159340
Merrick County,Nebraska,NE,159160
Sully County,South Dakota,SD,159090
St. Joseph County,Michigan,MI,159040
Scotts Bluff County,Nebraska,NE,159040
Tift County,Georgia,GA,158950
Jackson County,Indiana,IN,158870
Grant County,Kansas,KS,158770
Shelby County,Iowa,IA,158710
Hardy County,West Virginia,WV,158650
Coos County,New Hampshire,NH,158610
Richmond County,Georgia,GA,158550
Henry County,Kentucky,KY,158520
Charles Mix County,South Dakota,SD,158500
Clark County,Wisconsin,WI,158450
Marshall County,Kentucky,KY,158150
Lawrence County,Tennessee,TN,158100
Franklin County,Georgia,GA,158100
Essex County,Vermont,VT,158090
Beckham County,Oklahoma,OK,157950
Henry County,Ohio,OH,157840
Osage County,Oklahoma,OK,157740
Barren County,Kentucky,KY,157690
Kimble County,Texas,TX,157630
Montgomery County,Indiana,IN,157600
Owen County,Indiana,IN,157400
San Jacinto County,Texas,TX,157390
Baldwin County,Georgia,GA,157370
Boone County,Arkansas,AR,157340
Wood County,West Virginia,WV,157290
Mower County,Minnesota,MN,157290
Bradford County,Florida,FL,157200
Renville County,North Dakota,ND,157140
Carroll County,Indiana,IN,157100
Murray County,Georgia,GA,156980
Pontotoc County,Oklahoma,OK,156920
Richland County,North Dakota,ND,156910
Guthrie County,Iowa,IA,156910
Pettis County,Missouri,MO,156800
Pendleton County,Kentucky,KY,156790
Washington County,Kentucky,KY,156750
Curry County,New Mexico,NM,156700
Delta County,Texas,TX,156650
Clayton County,Iowa,IA,156530
Chester County,Tennessee,TN,156530
Ralls County,Missouri,MO,156450
Lucas County,Ohio,OH,156230
Giles County,Virginia,VA,156170
Butler County,Nebraska,NE,156160
Marion County,Tennessee,TN,156140
Grady County,Georgia,GA,156040
Pope County,Arkansas,AR,156040
Glacier County,Montana,MT,156030
Iberia Parish,Louisiana,LA,155980
Broome County,New York,NY,155950
Nodaway County,Missouri,MO,155860
Perry County,Ohio,OH,155790
DeKalb County,Indiana,IN,155760
Oceana County,Michigan,MI,155740
Putnam County,Illinois,IL,155680
Warren County,Tennessee,TN,155590
Conejos County,Colorado,CO,155360
Mecosta County,Michigan,MI,155260
Marshall County,South Dakota,SD,155220
Allen County,Kentucky,KY,155120
Sutton County,Texas,TX,155120
Henderson County,Kentucky,KY,155110
Okeechobee County,Florida,FL,155100
Holt County,Nebraska,NE,155010
Keith County,Nebraska,NE,155010
Montgomery County,Kentucky,KY,155000
Gibson County,Indiana,IN,154990
Cedar County,Nebraska,NE,154780
Sanilac County,Michigan,MI,154670
Cuming County,Nebraska,NE,154660
Pike County,Alabama,AL,154600
Beauregard Parish,Louisiana,LA,154540
Jackson County,West Virginia,WV,154500
Crawford County,Arkansas,AR,154420
Colbert County,Alabama,AL,154370
Powder River County,Montana,MT,154350
Clay County,Iowa,IA,154230
Marion County,Missouri,MO,154220
Warren County,Mississippi,MS,154140
Washington County,Florida,FL,154110
Schuyler County,New York,NY,154070
Grant County,West Virginia,WV,154060
Crittenden County,Arkansas,AR,154050
Tucker County,West Virginia,WV,153940
Wythe County,Virginia,VA,153900
Stephens County,Georgia,GA,153870
Cerro Gordo County,Iowa,IA,153530
Benton County,Missouri,MO,153520
Darke County,Ohio,OH,153390
Clay County,Tennessee,TN,153320
DeKalb County,Missouri,MO,153220
Harvey County,Kansas,KS,153170
Ashtabula County,Ohio,OH,153160
Chickasaw County,Iowa,IA,152960
Gage County,Nebraska,NE,152820
Crawford County,Missouri,MO,152800
Palo Pinto County,Texas,TX,152720
Huron County,Ohio,OH,152700
Wyandot County,Ohio,OH,152700
Lawrence County,Alabama,AL,152510
Box Butte County,Nebraska,NE,152470
Doddridge County,West Virginia,WV,152370
Camp County,Texas,TX,152360
Pendleton County,West Virginia,WV,152040
Vigo County,Indiana,IN,151940
Dawes County,Nebraska,NE,151900
Williamson County,Illinois,IL,151860
Ransom County,North Dakota,ND,151830
Mahoning County,Ohio,OH,151780
Dyer County,Tennessee,TN,151560
Freeborn County,Minnesota,MN,151550
Cherokee County,Oklahoma,OK,151300
Douglas County,Missouri,MO,151300
Missaukee County,Michigan,MI,151130
Adams County,Illinois,IL,151080
Murray County,Oklahoma,OK,151080
Allegany County,Maryland,MD,151060
Cocke County,Tennessee,TN,151060
Polk County,Texas,TX,151050
Montgomery County,North Carolina,NC,150990
Milam County,Texas,TX,150930
Polk County,Tennessee,TN,150810
Osage County,Kansas,KS,150790
Jackson County,Tennessee,TN,150680
Leon County,Texas,TX,150570
Union County,Florida,FL,150530
Hinds County,Mississippi,MS,150530
Caswell County,North Carolina,NC,150500
Linn County,Kansas,KS,150320
Red Willow County,Nebraska,NE,150280
Defiance County,Ohio,OH,150190
Sussex County,Virginia,VA,150180
Aroostook County,Maine,ME,150060
Pierce County,North Dakota,ND,150060
Vermilion Parish,Louisiana,LA,150000
Hardin County,Tennessee,TN,149930
Madison County,Arkansas,AR,149920
Somerset County,Maine,ME,149820
Wheatland County,Montana,MT,149780
Martin County,Indiana,IN,149770
Northwest Arctic Borough,Alaska,AK,149760
De Baca County,New Mexico,NM,149720
Dickey County,North Dakota,ND,149620
Adair County,Missouri,MO,149540
Trimble County,Kentucky,KY,149280
Switzerland County,Indiana,IN,149190
Genesee County,New York,NY,149140
Mayes County,Oklahoma,OK,149130
Cortland County,New York,NY,149030
Haakon County,South Dakota,SD,149020
Marion County,Ohio,OH,148700
Martin County,Minnesota,MN,148680
Iron County,Wisconsin,WI,148660
Clinton County,Iowa,IA,148360
Claiborne County,Tennessee,TN,148290
Cedar County,Missouri,MO,148130
Shannon County,Missouri,MO,148130
Washington County,Indiana,IN,148040
Bates County,Missouri,MO,148010
Crawford County,Pennsylvania,PA,147880
Price County,Wisconsin,WI,147840
Burleson County,Texas,TX,147670
White County,Indiana,IN,147580
Taylor County,Kentucky,KY,147530
Delaware County,Oklahoma,OK,147520
Garfield County,Oklahoma,OK,147520
Hopewell city,Virginia,VA,147510
Costilla County,Colorado,CO,147450
Lewis County,New York,NY,147420
Alcona County,Michigan,MI,147350
Upshur County,West Virginia,WV,147330
Wayne County,Georgia,GA,147210
Marinette County,Wisconsin,WI,147130
Peoria County,Illinois,IL,147110
Russell County,Alabama,AL,147060
Lincoln County,Oklahoma,OK,147020
Butler County,Iowa,IA,146970
Tipton County,Indiana,IN,146900
Blair County,Pennsylvania,PA,146890
Randolph County,Alabama,AL,146690
Jefferson Davis Parish,Louisiana,LA,146680
Union County,New Mexico,NM,146570
Sargent County,North Dakota,ND,146530
Keweenaw County,Michigan,MI,146520
Wichita County,Texas,TX,146440
Hand County,South Dakota,SD,146440
Schoolcraft County,Michigan,MI,146400
Bryan County,Oklahoma,OK,146380
McDuffie County,Georgia,GA,146310
Ohio County,West Virginia,WV,146270
Decatur County,Georgia,GA,146250
Clarion County,Pennsylvania,PA,146160
Hamilton County,Texas,TX,146140
Lamar County,Texas,TX,146140
Wexford County,Michigan,MI,146050
Pocahontas County,West Virginia,WV,145980
Langlade County,Wisconsin,WI,145950
Washington County,Oklahoma,OK,145920
Kingsbury County,South Dakota,SD,145850
Hyde County,North Carolina,NC,145810
Harrison County,Iowa,IA,145750
Suwannee County,Florida,FL,145720
Chippewa County,Michigan,MI,145690
Clinton County,Indiana,IN,145620
Henry County,Iowa,IA,145480
Henry County,Missouri,MO,145440
Buena Vista County,Iowa,IA,145360
Calhoun County,Texas,TX,145300
Crockett County,Texas,TX,145060
Howard County,Texas,TX,145060
San Saba County,Texas,TX,144940
Oswego County,New York,NY,144930
Owen County,Kentucky,KY,144850
Preston County,West Virginia,WV,144760
Charlotte County,Virginia,VA,144720
St. Landry Parish,Louisiana,LA,144680
Grant County,Arkansas,AR,144680
Clark County,Idaho,ID,144660
Henderson County,Tennessee,TN,144650
Guernsey County,Ohio,OH,144590
Clay County,Alabama,AL,144560
Greenbrier County,West Virginia,WV,144530
Piscataquis County,Maine,ME,144520
Saginaw County,Michigan,MI,144490
Panola County,Texas,TX,144470
Monroe County,Missouri,MO,144390
Highland County,Ohio,OH,144240
Hendry County,Florida,FL,144240
Union County,Indiana,IN,144240
Robertson County,Texas,TX,144230
Clarke County,Iowa,IA,144210
Delta County,Michigan,MI,144160
Cherokee County,Texas,TX,144110
Marshall County,Minnesota,MN,143980
Marshall County,Mississippi,MS,143960
Lyman County,South Dakota,SD,143860
Rush County,Indiana,IN,143780
Wyoming County,New York,NY,143640
De Soto Parish,Louisiana,LA,143550
Lanier County,Georgia,GA,143480
Acadia Parish,Louisiana,LA,143470
Early County,Georgia,GA,143460
Branch County,Michigan,MI,143450
Lee County,Illinois,IL,143440
Lawrence County,Indiana,IN,143430
Mitchell County,Iowa,IA,143410
Lewis County,Tennessee,TN,143390
Wayne County,Tennessee,TN,143390
Polk County,Nebraska,NE,143370
Scott County,Missouri,MO,143330
Newberry County,South Carolina,SC,143330
Stone County,Arkansas,AR,143310
Davis County,Iowa,IA,143290
Anderson County,Texas,TX,143270
Petroleum County,Montana,MT,143160
Marion County,Kentucky,KY,143100
Kanawha County,West Virginia,WV,143090
Buena Vista city,Virginia,VA,143090
Fayette County,Ohio,OH,142870
Heard County,Georgia,GA,142750
Fulton County,New York,NY,142720
Red Lake County,Minnesota,MN,142720
Yellow Medicine County,Minnesota,MN,142720
Washington County,Maine,ME,142710
Ozark County,Missouri,MO,142630
Graham County,North Carolina,NC,142600
Sandusky County,Ohio,OH,142530
Gibson County,Tennessee,TN,142510
Cherry County,Nebraska,NE,142450
Lawrence County,Missouri,MO,142400
Ashland County,Wisconsin,WI,142300
Gilliam County,Oregon,OR,142270
Texas County,Oklahoma,OK,142260
Laclede County,Missouri,MO,142160
Clark County,Arkansas,AR,142140
Jefferson County,Arkansas,AR,141950
Jackson County,Minnesota,MN,141920
Dawson County,Nebraska,NE,141870
Steuben County,New York,NY,141800
Belmont County,Ohio,OH,141730
Raleigh County,West Virginia,WV,141720
Torrance County,New Mexico,NM,141650
Greene County,Pennsylvania,PA,141480
Howell County,Missouri,MO,141460
Livingston County,Missouri,MO,141460
O'Brien County,Iowa,IA,141450
Sumter County,Georgia,GA,141410
Day County,South Dakota,SD,141400
Armstrong County,Pennsylvania,PA,141390
Houston County,Texas,TX,141350
Baca County,Colorado,CO,141340
Otero County,New Mexico,NM,141280
Grayson County,Kentucky,KY,141230
Noble County,Oklahoma,OK,141220
Carter County,Oklahoma,OK,141110
Tioga County,New York,NY,141030
Trumbull County,Ohio,OH,140970
Colfax County,New Mexico,NM,140950
Putnam County,Florida,FL,140910
St. Martin Parish,Louisiana,LA,140800
Rusk County,Wisconsin,WI,140760
Blaine County,Montana,MT,140750
Gladwin County,Michigan,MI,140730
Live Oak County,Texas,TX,140640
Carter County,Montana,MT,140630
Grant County,New Mexico,NM,140610
Sherman County,Kansas,KS,140560
Randolph County,Missouri,MO,140520
Marion County,West Virginia,WV,140490
Warren County,Indiana,IN,140440
Madison County,Texas,TX,140280
Beadle County,South Dakota,SD,140230
Hutchinson County,South Dakota,SD,140230
Love County,Oklahoma,OK,140190
Gonzales County,Texas,TX,140160
Woods County,Oklahoma,OK,140080
Newton County,Indiana,IN,139970
Roscommon County,Michigan,MI,139900
Sedgwick County,Colorado,CO,139900
Chippewa County,Minnesota,MN,139850
Halifax County,Virginia,VA,139840
McNairy County,Tennessee,TN,139610
Meade County,Kansas,KS,139540
Vance County,North Carolina,NC,139520
Prairie County,Montana,MT,139310
Indiana County,Pennsylvania,PA,139310
Upson County,Georgia,GA,139230
Limestone County,Texas,TX,139200
Clarendon County,South Carolina,SC,139120
Fentress County,Tennessee,TN,139110
Henry County,Tennessee,TN,139110
Vernon Parish,Louisiana,LA,139040
Cherokee County,Iowa,IA,139030
Madison County,Missouri,MO,139000
DeSoto County,Florida,FL,138940
Wayne County,Indiana,IN,138830
Washington County,Illinois,IL,138720
Navarro County,Texas,TX,138600
Fulton County,Indiana,IN,138590
Atascosa County,Texas,TX,138580
Sheridan County,Montana,MT,138350
Monroe County,West Virginia,WV,138250
Johnson County,Kentucky,KY,138190
Fayette County,Pennsylvania,PA,138170
Sierra County,New Mexico,NM,138130
Petersburg city,Virginia,VA,138130
Patrick County,Virginia,VA,138090
Perkins County,Nebraska,NE,138070
Harrison County,West Virginia,WV,138020
Moore County,Texas,TX,138000
Todd County,Kentucky,KY,137960
Schuylkill County,Pennsylvania,PA,137930
McCormick County,South Carolina,SC,137920
Crawford County,Michigan,MI,137890
Des Moines County,Iowa,IA,137880
Bland County,Virginia,VA,137860
Meriwether County,Georgia,GA,137840
Sheridan County,Kansas,KS,137830
Muskogee County,Oklahoma,OK,137790
Jackson County,Texas,TX,137760
Gallia County,Ohio,OH,137730
Conway County,Arkansas,AR,137660
Montgomery County,Arkansas,AR,137660
Cleburne County,Alabama,AL,137590
Jefferson County,Iowa,IA,137540
Wright County,Missouri,MO,137480
Clay County,Texas,TX,137460
Coffey County,Kansas,KS,137370
Johnson County,Illinois,IL,137370
Redwood County,Minnesota,MN,137330
Greensville County,Virginia,VA,137280
Calhoun County,South Carolina,SC,137220
Hill County,Texas,TX,137160
Rock Island County,Illinois,IL,137070
Butler County,Missouri,MO,137010
Menominee County,Michigan,MI,136950
Haywood County,Tennessee,TN,136850
Chilton County,Alabama,AL,136850
Henry County,Alabama,AL,136810
Sabine County,Texas,TX,136810
Union County,Mississippi,MS,136730
Starke County,Indiana,IN,136640
Kearny County,Kansas,KS,136580
Pittsburg County,Oklahoma,OK,136530
Perry County,Indiana,IN,136520
Mahaska County,Iowa,IA,136500
Carroll County,Virginia,VA,136470
Harlan County,Nebraska,NE,136450
Mifflin County,Pennsylvania,PA,136450
Brown County,Texas,TX,136450
Lyon County,Kansas,KS,136350
Laurel County,Kentucky,KY,136330
Val Verde County,Texas,TX,136330
Mineral County,Nevada,NV,136280
Houghton County,Michigan,MI,136240
Perry County,Arkansas,AR,136220
Franklin County,New York,NY,136190
Alleghany County,Virginia,VA,136120
Clark County,South Dakota,SD,136010
Henry County,Illinois,IL,135980
Bennett County,South Dakota,SD,135890
Clay County,Nebraska,NE,135650
Wabash County,Indiana,IN,135600
Tama County,Iowa,IA,135580
Walker County,Alabama,AL,135560
Lunenburg County,Virginia,VA,135540
Pecos County,Texas,TX,135370
Louisa County,Iowa,IA,135350
Pike County,Ohio,OH,135330
Graves County,Kentucky,KY,135280
Stephens County,Oklahoma,OK,135270
Fremont County,Iowa,IA,135230
Adams County,Ohio,OH,135210
Saluda County,South Carolina,SC,135060
Scott County,Indiana,IN,134910
Jackson County,Alabama,AL,134880
Valley County,Nebraska,NE,134840
Huron County,Michigan,MI,134820
Dickinson County,Kansas,KS,134760
McLean County,Kentucky,KY,134630
Arkansas County,Arkansas,AR,134590
Van Buren County,Tennessee,TN,134580
Miller County,Arkansas,AR,134570
Douglas County,Illinois,IL,134560
Taylor County,West Virginia,WV,134550
Presque Isle County,Michigan,MI,134470
Bollinger County,Missouri,MO,134460
Saline County,Nebraska,NE,134380
Cottonwood County,Minnesota,MN,134340
Clarke County,Alabama,AL,134280
Lewis County,West Virginia,WV,134210
Edmunds County,South Dakota,SD,134140
Greenup County,Kentucky,KY,134030
Lincoln County,Minnesota,MN,134000
Jennings County,Indiana,IN,133990
Columbiana County,Ohio,OH,133960
Karnes County,Texas,TX,133930
Evans County,Georgia,GA,133910
Roberts County,South Dakota,SD,133900
Anderson County,Kansas,KS,133850
Brunswick County,Virginia,VA,133790
Lincoln County,Kentucky,KY,133760
Dickinson County,Michigan,MI,133760
Potter County,Pennsylvania,PA,133710
Bond County,Illinois,IL,133700
Pontotoc County,Mississippi,MS,133640
Montmorency County,Michigan,MI,133520
Lake and Peninsula Borough,Alaska,AK,133380
Dale County,Alabama,AL,133340
Grayson County,Virginia,VA,133330
Custer County,Nebraska,NE,133230
Sioux County,Nebraska,NE,133230
Tuscola County,Michigan,MI,132810
Koochiching County,Minnesota,MN,132740
Bay County,Michigan,MI,132650
Marshall County,Oklahoma,OK,132630
Cook County,Georgia,GA,132580
Chemung County,New York,NY,132470
Laurens County,Georgia,GA,132460
Decatur County,Tennessee,TN,132450
Scott County,Virginia,VA,132400
Monroe County,Iowa,IA,132360
McIntosh County,Oklahoma,OK,132290
Roosevelt County,New Mexico,NM,132290
Mahnomen County,Minnesota,MN,132160
Covington County,Alabama,AL,132160
Tallapoosa County,Alabama,AL,132160
Yell County,Arkansas,AR,132120
St. Clair County,Missouri,MO,132090
Grundy County,Tennessee,TN,132070
McHenry County,North Dakota,ND,132050
Monroe County,Ohio,OH,132010
Daviess County,Missouri,MO,131970
Saline County,Missouri,MO,131970
Caldwell County,Missouri,MO,131900
Irion County,Texas,TX,131860
Fairfield County,South Carolina,SC,131820
Renville County,Minnesota,MN,131820
Grant Parish,Louisiana,LA,131800
Washington County,Alabama,AL,131800
Pulaski County,Indiana,IN,131800
Lipscomb County,Texas,TX,131780
Hopkins County,Kentucky,KY,131780
Somerset County,Pennsylvania,PA,131760
Chaves County,New Mexico,NM,131720
Hidalgo County,Texas,TX,131640
Scotland County,Missouri,MO,131620
Russell County,Kentucky,KY,131540
Alpena County,Michigan,MI,131390
Garfield County,Nebraska,NE,131380
Swift County,Minnesota,MN,131360
DeKalb County,Alabama,AL,131210
Clearfield County,Pennsylvania,PA,131190
Morgan County,Tennessee,TN,131190
Perry County,Tennessee,TN,131190
Texas County,Missouri,MO,131150
Golden Valley County,Montana,MT,131130
Alcorn County,Mississippi,MS,131120
Hardin County,Ohio,OH,130980
Howard County,Iowa,IA,130980
Humboldt County,Iowa,IA,130980
Bladen County,North Carolina,NC,130760
Ochiltree County,Texas,TX,130700
Burt County,Nebraska,NE,130690
Huntington County,Indiana,IN,130530
Coffee County,Georgia,GA,130520
Potter County,South Dakota,SD,130510
Tyler County,Texas,TX,130340
Crockett County,Tennessee,TN,130310
Chester County,South Carolina,SC,130290
Maverick County,Texas,TX,130220
Vernon County,Missouri,MO,130220
Randolph County,West Virginia,WV,130170
Montgomery County,New York,NY,130110
Coshocton County,Ohio,OH,130070
Burke County,North Dakota,ND,130060
McDonald County,Missouri,MO,130050
Tunica County,Mississippi,MS,130010
Prowers County,Colorado,CO,129950
Cass County,Iowa,IA,129940
Kossuth County,Iowa,IA,129940
Noble County,Ohio,OH,129730
Worth County,Iowa,IA,129480
Jones County,North Carolina,NC,129400
Jackson County,Florida,FL,129310
Logan County,Nebraska,NE,129310
Cameron County,Texas,TX,129290
Casey County,Kentucky,KY,129210
Whitley County,Kentucky,KY,129210
Craig County,Oklahoma,OK,129200
Clay County,Kansas,KS,129180
Seneca County,Ohio,OH,129160
Adair County,Iowa,IA,129130
Adair County,Kentucky,KY,129090
Major County,Oklahoma,OK,129080
Livingston County,Illinois,IL,129060
Obion County,Tennessee,TN,129050
Osceola County,Michigan,MI,129030
Logan County,Kentucky,KY,128970
Otero County,Colorado,CO,128870
Pipestone County,Minnesota,MN,128840
Bleckley County,Georgia,GA,128830
Dade County,Missouri,MO,128580
Scott County,Tennessee,TN,128550
Pope County,Illinois,IL,128500
Randolph County,Illinois,IL,128500
Wibaux County,Montana,MT,128480
Geneva County,Alabama,AL,128450
Van Wert County,Ohio,OH,128360
Dent County,Missouri,MO,128340
Miller County,Georgia,GA,128340
Fountain County,Indiana,IN,128340
Delaware County,Indiana,IN,128340
Assumption Parish,Louisiana,LA,128190
Seneca County,New York,NY,128160
Ringgold County,Iowa,IA,128100
Herkimer County,New York,NY,127990
Atchison County,Kansas,KS,127930
Escambia County,Alabama,AL,127790
Pleasants County,West Virginia,WV,127730
Johnson County,Arkansas,AR,127640
Webster County,Iowa,IA,127640
Jasper County,Texas,TX,127590
Stoddard County,Missouri,MO,127520
Palo Alto County,Iowa,IA,127520
Cherokee County,South Carolina,SC,127470
Williams County,Ohio,OH,127440
Pike County,Indiana,IN,127420
Polk County,Arkansas,AR,127400
Comanche County,Texas,TX,127350
Parmer County,Texas,TX,127350
Jones County,Mississippi,MS,127340
Jackson County,Ohio,OH,127330
Hancock County,Kentucky,KY,127290
Dougherty County,Georgia,GA,127240
Dundy County,Nebraska,NE,127230
Frontier County,Nebraska,NE,127230
Smith County,Mississippi,MS,127230
Calhoun County,Florida,FL,127210
Carroll County,Kentucky,KY,127110
Blaine County,Oklahoma,OK,127020
Crane County,Texas,TX,126990
Ogemaw County,Michigan,MI,126900
Pulaski County,Georgia,GA,126890
Kittson County,Minnesota,MN,126890
Howard County,Arkansas,AR,126810
Haskell County,Kansas,KS,126680
Sanborn County,South Dakota,SD,126640
Franklin County,Alabama,AL,126610
Jackson County,Illinois,IL,126590
Kiowa County,Kansas,KS,126560
Baraga County,Michigan,MI,126550
Socorro County,New Mexico,NM,126550
Cumberland County,Kentucky,KY,126520
Kiowa County,Colorado,CO,126470
Liberty County,Florida,FL,126470
Chariton County,Missouri,MO,126470
Clay County,Indiana,IN,126400
Chambers County,Alabama,AL,126370
Perry County,Mississippi,MS,126350
Lafayette County,Florida,FL,126350
Marshall County,West Virginia,WV,126270
Columbus County,North Carolina,NC,126200
Sampson County,North Carolina,NC,126200
Tripp County,South Dakota,SD,126170
McPherson County,Nebraska,NE,126080
Mercer County,Illinois,IL,126010
Lauderdale County,Mississippi,MS,125970
Washington Parish,Louisiana,LA,125870
Chattahoochee County,Georgia,GA,125860
Fayette County,Iowa,IA,125680
Union County,Iowa,IA,125680
Callahan County,Texas,TX,125680
Smyth County,Virginia,VA,125660
Stevens County,Kansas,KS,125650
Van Buren County,Arkansas,AR,125640
Oldham County,Texas,TX,125550
Weakley County,Tennessee,TN,125530
Iroquois County,Illinois,IL,125470
Grant County,Indiana,IN,125460
Berrien County,Georgia,GA,125440
Titus County,Texas,TX,125430
Logan County,Arkansas,AR,125400
Henry County,Indiana,IN,125350
Columbia County,Arkansas,AR,125280
Logan County,Illinois,IL,125240
Anson County,North Carolina,NC,125070
Abbeville County,South Carolina,SC,125070
Yazoo County,Mississippi,MS,124940
Gratiot County,Michigan,MI,124900
Logan County,Kansas,KS,124850
Garvin County,Oklahoma,OK,124850
Pierce County,Georgia,GA,124840
Aurora County,South Dakota,SD,124770
Floyd County,Iowa,IA,124760
Greene County,Indiana,IN,124750
Hardee County,Florida,FL,124750
Breckinridge County,Kentucky,KY,124540
Darlington County,South Carolina,SC,124530
Roosevelt County,Montana,MT,124510
Seward County,Kansas,KS,124510
Lawrence County,Ohio,OH,124490
Jefferson County,Pennsylvania,PA,124450
Golden Valley County,North Dakota,ND,124430
Orange County,Indiana,IN,124420
Allen Parish,Louisiana,LA,124320
Carter County,Kentucky,KY,124310
Boyd County,Kentucky,KY,124270
Johnson County,Nebraska,NE,124240
Loup County,Nebraska,NE,124240
Pickens County,Alabama,AL,124130
Toombs County,Georgia,GA,124110
La Paz County,Arizona,AZ,124030
Carroll County,Tennessee,TN,124020
Winston County,Alabama,AL,124010
Cavalier County,North Dakota,ND,123980
Oscoda County,Michigan,MI,123950
Chase County,Kansas,KS,123940
Ford County,Kansas,KS,123940
Potter County,Texas,TX,123900
Hancock County,Tennessee,TN,123890
Lake County,Tennessee,TN,123890
Reagan County,Texas,TX,123880
Chenango County,New York,NY,123690
Morgan County,Illinois,IL,123560
De Witt County,Illinois,IL,123330
Norman County,Minnesota,MN,123220
Scioto County,Ohio,OH,123210
Macon County,Missouri,MO,123190
Hansford County,Texas,TX,123160
Ward County,Texas,TX,123160
Whiteside County,Illinois,IL,123110
Paulding County,Ohio,OH,123100
Macon County,Illinois,IL,123050
Knox County,Indiana,IN,123040
Marshall County,Iowa,IA,123030
Arenac County,Michigan,MI,123010
Union County,Illinois,IL,123000
Douglas County,South Dakota,SD,122890
Orleans County,New York,NY,122790
Lac qui Parle County,Minnesota,MN,122760
Tyrrell County,North Carolina,NC,122620
Colleton County,South Carolina,SC,122540
Gadsden County,Florida,FL,122500
Monroe County,Alabama,AL,122470
Drew County,Arkansas,AR,122450
Monroe County,Kentucky,KY,122440
Jerauld County,South Dakota,SD,122420
Gentry County,Missouri,MO,122250
Elk County,Pennsylvania,PA,122160
Talladega County,Alabama,AL,122120
Bureau County,Illinois,IL,122100
Big Stone County,Minnesota,MN,122070
St. Mary Parish,Louisiana,LA,121990
Dallam County,Texas,TX,121960
Grenada County,Mississippi,MS,121960
Mason County,West Virginia,WV,121880
Tippah County,Mississippi,MS,121850
Watonwan County,Minnesota,MN,121840
Marshall County,Illinois,IL,121650
Benton County,Indiana,IN,121540
Hamilton County,Iowa,IA,121540
