County,State,State Abbrv,Median Home Price Q3 2022
Brunswick County,North Carolina,NC,351830
Livingston County,Michigan,MI,351120
Warren County,New Jersey,NJ,349770
Sussex County,New Jersey,NJ,348880
Charlotte County,Florida,FL,348270
Lake County,Montana,MT,348040
Hall County,Georgia,GA,347590
Douglas County,Washington,WA,346820
Columbia County,Oregon,OR,345010
Baltimore County,Maryland,MD,344630
St. Lucie County,Florida,FL,344390
Crook County,Oregon,OR,344060
Blanco County,Texas,TX,343390
Henrico County,Virginia,VA,342880
Montgomery County,Texas,TX,342130
McKenzie County,North Dakota,ND,341900
Ellis County,Texas,TX,341830
Brevard County,Florida,FL,341280
Suffolk city,Virginia,VA,341080
Laramie County,Wyoming,WY,340670
Robertson County,Tennessee,TN,340560
Park County,Wyoming,WY,339070
Lincoln County,South Dakota,SD,339060
Grand Traverse County,Michigan,MI,338410
St. Croix County,Wisconsin,WI,338230
Sheridan County,Wyoming,WY,338140
Walton County,Georgia,GA,337100
Lake County,Illinois,IL,336440
Oakland County,Michigan,MI,336310
Santa Rosa County,Florida,FL,336170
Wright County,Minnesota,MN,335930
Mariposa County,California,CA,335870
Berkeley County,South Carolina,SC,334180
Trinity County,California,CA,333870
Clay County,Florida,FL,333790
Litchfield County,Connecticut,CT,333750
Colusa County,California,CA,333540
Isle of Wight County,Virginia,VA,333520
Lincoln County,Oregon,OR,333270
Cecil County,Maryland,MD,333030
Dorchester County,South Carolina,SC,332830
Stillwater County,Montana,MT,332640
Lancaster County,South Carolina,SC,332610
Platte County,Missouri,MO,331710
Washington County,Wisconsin,WI,331200
New Castle County,Delaware,DE,331180
Lincoln County,Wyoming,WY,331130
Wallowa County,Oregon,OR,330720
Juab County,Utah,UT,330700
Kern County,California,CA,330000
Tarrant County,Texas,TX,329900
New London County,Connecticut,CT,329200
Warren County,Ohio,OH,329180
Addison County,Vermont,VT,328580
Carteret County,North Carolina,NC,328500
Northumberland County,Virginia,VA,328490
Walla Walla County,Washington,WA,328110
Dawson County,Georgia,GA,326780
Kaufman County,Texas,TX,326710
Shelby County,Alabama,AL,326080
Saratoga County,New York,NY,325940
Lake County,California,CA,325880
Grant County,Washington,WA,325030
Anoka County,Minnesota,MN,324410
Madison County,Virginia,VA,323960
Cook County,Illinois,IL,323470
Inyo County,California,CA,323440
Worcester County,Maryland,MD,322650
Lake County,Florida,FL,322590
Tolland County,Connecticut,CT,322090
Tulare County,California,CA,322030
Dallas County,Iowa,IA,321880
Delta County,Colorado,CO,321760
Kent County,Delaware,DE,321620
Kings County,California,CA,321360
Bedford County,Virginia,VA,321260
Carroll County,New Hampshire,NH,321000
Grays Harbor County,Washington,WA,320770
Johnson County,Iowa,IA,320540
Brazos County,Texas,TX,319890
Mathews County,Virginia,VA,319750
Ramsey County,Minnesota,MN,319700
Olmsted County,Minnesota,MN,319650
Broadwater County,Montana,MT,319650
Knox County,Tennessee,TN,319440
New Haven County,Connecticut,CT,319110
Paulding County,Georgia,GA,318550
Burlington County,New Jersey,NJ,318190
Columbia County,Georgia,GA,318190
Montrose County,Colorado,CO,317560
Sanders County,Montana,MT,317000
Boundary County,Idaho,ID,316480
Orange County,Virginia,VA,316400
Winchester city,Virginia,VA,316400
Rockingham County,Virginia,VA,316310
Matanuska-Susitna Borough,Alaska,AK,315980
Taos County,New Mexico,NM,315750
Pima County,Arizona,AZ,315610
Kane County,Illinois,IL,315570
Latah County,Idaho,ID,315510
Iredell County,North Carolina,NC,315470
Lake County,Colorado,CO,315040
Galveston County,Texas,TX,315000
Custer County,Colorado,CO,314920
Madison County,Idaho,ID,314420
Lincoln County,North Carolina,NC,314110
Volusia County,Florida,FL,312990
St. Charles County,Missouri,MO,312670
Hendricks County,Indiana,IN,312600
Currituck County,North Carolina,NC,311960
Grafton County,New Hampshire,NH,311920
Johnston County,North Carolina,NC,311730
Delaware County,Pennsylvania,PA,311320
Orleans Parish,Louisiana,LA,310980
Geauga County,Ohio,OH,310830
Augusta County,Virginia,VA,310830
Rice County,Minnesota,MN,310560
Jefferson County,Oregon,OR,310180
Kendall County,Illinois,IL,310160
Duval County,Florida,FL,310060
Pend Oreille County,Washington,WA,309890
Hamilton County,Tennessee,TN,309020
Transylvania County,North Carolina,NC,308640
Kent County,Maryland,MD,308430
Middlesex County,Virginia,VA,308270
Boise County,Idaho,ID,308210
Madison County,Alabama,AL,307890
Watauga County,North Carolina,NC,307780
Hartford County,Connecticut,CT,307170
Dallas County,Texas,TX,307160
Will County,Illinois,IL,307120
Henry County,Georgia,GA,307000
Bay County,Florida,FL,306820
Midland County,Texas,TX,305470
Benton County,Arkansas,AR,305380
Greenville County,South Carolina,SC,305280
Bryan County,Georgia,GA,304550
Pennington County,South Dakota,SD,304360
Jefferson County,West Virginia,WV,304240
Bannock County,Idaho,ID,303660
Greene County,Georgia,GA,303260
Tehama County,California,CA,302680
Wise County,Texas,TX,302610
Baldwin County,Alabama,AL,302110
Montgomery County,Virginia,VA,301950
Wayne County,Utah,UT,301410
Pasco County,Florida,FL,300970
Atlantic County,New Jersey,NJ,300690
Lyon County,Nevada,NV,300690
Cook County,Minnesota,MN,300120
Northampton County,Pennsylvania,PA,299750
